"task","sparse_factor","slice_index","psnr","ssim"
"module_no_ct_S2","2","180","26.73504638671875","0.7478293180465698"
"module_no_ct_S2","2","181","32.63935852050781","0.8663053512573242"
"module_no_ct_S2","2","182","33.066184997558594","0.8981816172599792"
"module_no_ct_S2","2","183","33.357177734375","0.8888882398605347"
"module_no_ct_S2","2","184","34.25873565673828","0.8899595737457275"
"module_no_ct_S2","2","185","32.5899772644043","0.8909832239151001"
"module_no_ct_S2","2","186","32.706787109375","0.8892529606819153"
"module_no_ct_S2","2","187","32.505615234375","0.886264443397522"
"module_no_ct_S2","2","188","32.2525634765625","0.871090829372406"
"module_no_ct_S2","2","189","32.67567443847656","0.8862757682800293"
"module_no_ct_S2","2","190","33.38859939575195","0.8911274075508118"
"module_no_ct_S2","2","191","26.56696319580078","0.7282969355583191"
"module_no_ct_S2","2","192","34.328548431396484","0.9243006110191345"
"module_no_ct_S2","2","193","33.15864562988281","0.8649111986160278"
"module_no_ct_S2","2","194","33.292659759521484","0.8751338720321655"
"module_no_ct_S2","2","195","34.07023620605469","0.9186537265777588"
"module_no_ct_S2","2","196","32.86958312988281","0.8941104412078857"
"module_no_ct_S2","2","197","32.37173080444336","0.8791618943214417"
"module_no_ct_S2","2","198","33.864627838134766","0.9200631976127625"
"module_no_ct_S2","2","199","33.265045166015625","0.8982046842575073"
"module_no_sine_S2","2","0","29.96967315673828","0.849084734916687"
"module_no_sine_S2","2","1","29.32389259338379","0.827813982963562"
"module_no_sine_S2","2","2","31.462142944335938","0.8713772296905518"
"module_no_sine_S2","2","3","31.06130599975586","0.8853483200073242"
"module_no_sine_S2","2","4","30.994976043701172","0.8658016324043274"
"module_no_sine_S2","2","5","30.102664947509766","0.8433185815811157"
"module_no_sine_S2","2","6","30.00973892211914","0.8084169626235962"
"module_no_sine_S2","2","7","30.30657958984375","0.864167332649231"
"module_no_sine_S2","2","8","29.849882125854492","0.8434642553329468"
"module_no_sine_S2","2","9","30.798324584960938","0.8717685341835022"
"module_no_sine_S2","2","10","29.592113494873047","0.8168210983276367"
"module_no_sine_S2","2","11","30.133377075195312","0.8467321991920471"
"module_no_sine_S2","2","12","29.73110580444336","0.7613261938095093"
"module_no_sine_S2","2","13","30.47869873046875","0.8629934787750244"
"module_no_sine_S2","2","14","29.45598602294922","0.8247851133346558"
"module_no_sine_S2","2","15","29.323932647705078","0.803144633769989"
"module_no_sine_S2","2","16","30.23053741455078","0.8309794664382935"
"module_no_sine_S2","2","17","31.409215927124023","0.8685505390167236"
"module_no_sine_S2","2","18","29.22269630432129","0.8242690563201904"
"module_no_sine_S2","2","19","29.034997940063477","0.8036972284317017"
"module_no_sine_S2","2","20","29.65094566345215","0.8333901166915894"
"module_no_sine_S2","2","21","29.58237648010254","0.7920368313789368"
"module_no_sine_S2","2","22","30.011625289916992","0.832979142665863"
"module_no_sine_S2","2","23","29.6291561126709","0.8286309242248535"
"module_no_sine_S2","2","24","30.18716049194336","0.8515573740005493"
"module_no_sine_S2","2","25","29.977184295654297","0.8282442092895508"
"module_no_sine_S2","2","26","30.20505142211914","0.8564920425415039"
"module_no_sine_S2","2","27","29.91641616821289","0.8224910497665405"
"module_no_sine_S2","2","28","30.07362174987793","0.8408297300338745"
"module_no_sine_S2","2","29","30.35825538635254","0.864760160446167"
"module_no_sine_S2","2","30","31.100282669067383","0.8552751541137695"
"module_no_sine_S2","2","31","29.945955276489258","0.8408368825912476"
"module_no_sine_S2","2","32","30.37218475341797","0.8194628953933716"
"module_no_sine_S2","2","33","29.883018493652344","0.824797511100769"
"module_no_sine_S2","2","34","29.846982955932617","0.81103515625"
"module_no_sine_S2","2","35","29.15262222290039","0.8077873587608337"
"module_no_sine_S2","2","36","29.850189208984375","0.8287023305892944"
"module_no_sine_S2","2","37","30.027252197265625","0.8478894829750061"
"module_no_sine_S2","2","38","30.480091094970703","0.8610803484916687"
"module_no_sine_S2","2","39","30.053363800048828","0.8506549000740051"
"module_no_sine_S2","2","40","29.69715118408203","0.7694830894470215"
"module_no_sine_S2","2","41","30.17584228515625","0.8573232293128967"
"module_no_sine_S2","2","42","30.240869522094727","0.8375089168548584"
"module_no_sine_S2","2","43","29.89358139038086","0.8488004207611084"
"module_no_sine_S2","2","44","31.27344512939453","0.8674439191818237"
"module_no_sine_S2","2","45","30.72541046142578","0.8646541833877563"
"module_no_sine_S2","2","46","29.14464569091797","0.7843647599220276"
"module_no_sine_S2","2","47","30.16290283203125","0.8377391695976257"
"module_no_sine_S2","2","48","29.977989196777344","0.7809117436408997"
"module_no_sine_S2","2","49","29.231884002685547","0.8318741321563721"
"module_no_sine_S2","2","50","29.780576705932617","0.8420062065124512"
"module_no_sine_S2","2","51","30.598155975341797","0.8333961963653564"
"module_no_sine_S2","2","52","29.984739303588867","0.834499180316925"
"module_no_sine_S2","2","53","30.04842758178711","0.8072212934494019"
"module_no_sine_S2","2","54","30.04625129699707","0.8616174459457397"
"module_no_sine_S2","2","55","30.72274398803711","0.8402045965194702"
"module_no_sine_S2","2","56","29.537639617919922","0.8332345485687256"
"module_no_sine_S2","2","57","30.21524429321289","0.8572086095809937"
"module_no_sine_S2","2","58","30.245515823364258","0.8373337388038635"
"module_no_sine_S2","2","59","29.30367660522461","0.8010201454162598"
"module_no_sine_S2","2","60","30.43157196044922","0.8477704524993896"
"module_no_sine_S2","2","61","30.25145721435547","0.8706246614456177"
"module_no_sine_S2","2","62","31.329269409179688","0.8601208925247192"
"module_no_sine_S2","2","63","28.778841018676758","0.8255479335784912"
"module_no_sine_S2","2","64","29.910400390625","0.8132014274597168"
"module_no_sine_S2","2","65","30.12344741821289","0.8423951864242554"
"module_no_sine_S2","2","66","29.79620361328125","0.7760254740715027"
"module_no_sine_S2","2","67","30.479129791259766","0.8324912786483765"
"module_no_sine_S2","2","68","30.283708572387695","0.8528292179107666"
"module_no_sine_S2","2","69","29.704376220703125","0.8452211022377014"
"module_no_sine_S2","2","70","30.10976791381836","0.8302145004272461"
"module_no_sine_S2","2","71","30.233455657958984","0.8560630083084106"
"module_no_sine_S2","2","72","29.507665634155273","0.8286967277526855"
"module_no_sine_S2","2","73","29.468156814575195","0.7696075439453125"
"module_no_sine_S2","2","74","30.177597045898438","0.8509877920150757"
"module_no_sine_S2","2","75","29.578580856323242","0.8281818628311157"
"module_no_sine_S2","2","76","29.610815048217773","0.7669504284858704"
"module_no_sine_S2","2","77","30.721235275268555","0.8635833859443665"
"module_no_sine_S2","2","78","30.453720092773438","0.8632820844650269"
"module_no_sine_S2","2","79","29.36666488647461","0.8108124732971191"
"module_no_sine_S2","2","80","29.957181930541992","0.8448817729949951"
"module_no_sine_S2","2","81","30.295560836791992","0.838942289352417"
"module_no_sine_S2","2","82","30.445758819580078","0.8441338539123535"
"module_no_sine_S2","2","83","29.186080932617188","0.8191297054290771"
"module_no_sine_S2","2","84","30.622426986694336","0.8699705004692078"
"module_no_sine_S2","2","85","30.528108596801758","0.8661887645721436"
"module_no_sine_S2","2","86","30.932226181030273","0.8757408261299133"
"module_no_sine_S2","2","87","30.489233016967773","0.8221984505653381"
"module_no_sine_S2","2","88","30.45091438293457","0.8392037749290466"
"module_no_sine_S2","2","89","30.131023406982422","0.8467109203338623"
"module_no_sine_S2","2","90","29.4028377532959","0.8069961071014404"
"module_no_sine_S2","2","91","30.485881805419922","0.8361212015151978"
"module_no_sine_S2","2","92","30.240875244140625","0.8393738269805908"
"module_no_sine_S2","2","93","29.69282341003418","0.8331387042999268"
"module_no_sine_S2","2","94","30.533187866210938","0.8470949530601501"
"module_no_sine_S2","2","95","30.050451278686523","0.812973141670227"
"module_no_sine_S2","2","96","30.582378387451172","0.8647344708442688"
"module_no_sine_S2","2","97","29.70501136779785","0.8055578470230103"
"module_no_sine_S2","2","98","30.696733474731445","0.8707306385040283"
"module_no_sine_S2","2","99","30.395105361938477","0.8611829280853271"
"module_no_sine_S2","2","100","30.803836822509766","0.8623912930488586"
"module_no_sine_S2","2","101","29.651945114135742","0.8355786204338074"
"module_no_sine_S2","2","102","30.939102172851562","0.8744938373565674"
"module_no_sine_S2","2","103","29.869911193847656","0.8494733572006226"
"module_no_sine_S2","2","104","30.357425689697266","0.8568246364593506"
"module_no_sine_S2","2","105","30.18991470336914","0.8551089763641357"
"module_no_sine_S2","2","106","30.340595245361328","0.8064025044441223"
"module_no_sine_S2","2","107","31.048633575439453","0.8821145296096802"
"module_no_sine_S2","2","108","30.15174102783203","0.8509178757667542"
"module_no_sine_S2","2","109","30.875587463378906","0.8514505624771118"
"module_no_sine_S2","2","110","30.108821868896484","0.8456551432609558"
"module_no_sine_S2","2","111","31.0085391998291","0.8732724189758301"
"module_no_sine_S2","2","112","29.466472625732422","0.8040615320205688"
"module_no_sine_S2","2","113","31.282503128051758","0.8982058763504028"
"module_no_sine_S2","2","114","30.970659255981445","0.865571141242981"
"module_no_sine_S2","2","115","29.91333770751953","0.8084609508514404"
"module_no_sine_S2","2","116","29.402324676513672","0.7798552513122559"
"module_no_sine_S2","2","117","29.037494659423828","0.7902801036834717"
"module_no_sine_S2","2","118","30.161951065063477","0.8336254358291626"
"module_no_sine_S2","2","119","29.72600746154785","0.787407636642456"
"module_no_sine_S2","2","120","30.109130859375","0.8505547046661377"
"module_no_sine_S2","2","121","29.503887176513672","0.82633376121521"
"module_no_sine_S2","2","122","29.47892189025879","0.8325232267379761"
"module_no_sine_S2","2","123","30.407608032226562","0.8613360524177551"
"module_no_sine_S2","2","124","28.319948196411133","0.7860010862350464"
"module_no_sine_S2","2","125","29.49111557006836","0.7774703502655029"
"module_no_sine_S2","2","126","30.012805938720703","0.8483126759529114"
"module_no_sine_S2","2","127","30.526561737060547","0.8716367483139038"
"module_no_sine_S2","2","128","30.808813095092773","0.8687353134155273"
"module_no_sine_S2","2","129","30.653644561767578","0.8362416625022888"
"module_no_sine_S2","2","130","29.27755355834961","0.8233402967453003"
"module_no_sine_S2","2","131","30.269088745117188","0.8561979532241821"
"module_no_sine_S2","2","132","30.981531143188477","0.8798607587814331"
"module_no_sine_S2","2","133","30.22987174987793","0.8660979270935059"
"module_no_sine_S2","2","134","30.784976959228516","0.8580906391143799"
"module_no_sine_S2","2","135","29.297191619873047","0.816148579120636"
"module_no_sine_S2","2","136","29.963972091674805","0.7947649955749512"
"module_no_sine_S2","2","137","29.870880126953125","0.8321753144264221"
"module_no_sine_S2","2","138","30.491430282592773","0.8285582065582275"
"module_no_sine_S2","2","139","30.16252326965332","0.8426913022994995"
"module_no_sine_S2","2","140","30.825746536254883","0.8756780028343201"
"module_no_sine_S2","2","141","30.242595672607422","0.8526862859725952"
"module_no_sine_S2","2","142","29.406665802001953","0.7819314002990723"
"module_no_sine_S2","2","143","29.853473663330078","0.8374999761581421"
"module_no_sine_S2","2","144","30.793758392333984","0.8548071384429932"
"module_no_sine_S2","2","145","30.334566116333008","0.8461191654205322"
"module_no_sine_S2","2","146","30.758087158203125","0.8698840141296387"
"module_no_sine_S2","2","147","31.49554443359375","0.8745229244232178"
